X.SampleID	i.TwinID
Plate18.3	A802
Plate18.33	A1381
Plate18.34	A1091
Plate18.35	A562
Plate18.37	A1631
Plate18.4	A871
Plate18.54	A2421
Plate18.61	A622
Plate18.64	A791
Plate18.7	A792
Plate18.71	A3171
Plate18.72	A752
Plate18.73	A1572
Plate18.74	A2511
Plate18.75	A1041
Plate18.84	A2191
Plate18.85	A1361
Plate18.86	A1961
Plate18.87	A1901
Plate18.92	A2271
Plate18.94	A2251
Plate19.11	A692
Plate19.43	A572
Plate19.45	A1102
Plate19.51	A2441
Plate19.52	A2331
Plate19.58	A2201
Plate19.62	A2122
Plate19.63	A1842
Plate19.64	A1571
Plate19.66	A2652
Plate19.69	A2342
Plate19.77	A2651
Plate19.79	A1841
Plate19.80	A2581
Plate19.85	A2432
Plate19.87	A2212
Plate19.90	A1352
Plate19.91	A2442
Plate19.94	A2722
Plate19.95	A2011
Plate20.2	A6231
Plate20.21	A4822
Plate20.24	A5971
Plate20.25	A5972
Plate20.26	A3891
Plate20.27	A3892
Plate20.28	A4631
Plate20.29	A4632
Plate20.3	A6232
Plate20.31	A5802
Plate20.35	A5872
Plate20.40	A5661
Plate20.41	A5662
Plate20.42	A5611
Plate20.44	A7301
Plate20.45	A7302
Plate20.5	A4902
Plate20.51	A6802
Plate20.53	A7191
Plate20.54	A7192
Plate20.55	A4372
Plate20.56	A7271
Plate20.57	A7272
Plate20.58	A1802
Plate20.59	A8942
Plate20.60	A3871
Plate20.62	A212
Plate20.63	A6801
Plate20.64	A7111
Plate20.65	A5691
Plate20.66	A5692
Plate20.69	A5951
Plate20.7	A4762
Plate20.70	A5952
Plate20.72	A5792
Plate20.75	A5651
Plate20.76	A5652
Plate20.78	A5821
Plate20.79	A5822
Plate20.82	A7251
Plate20.83	A6212
Plate20.84	A6211
Plate20.85	A5931
Plate20.86	A5932
Plate20.94	A6311
Plate20.95	A6312
Plate21.12	A6021
Plate21.13	A6022
Plate21.14	A4782
Plate21.15	A4781
Plate21.2	A6041
Plate21.20	A6131
Plate21.24	A6101
Plate21.25	A6102
Plate21.27	A6062
Plate21.28	A6061
Plate21.29	A6171
Plate21.3	A6042
Plate21.30	A6172
Plate21.33	A4462
Plate21.34	A6841
Plate21.36	A5922
Plate21.38	A5882
Plate21.39	A5921
Plate21.41	A5212
Plate21.44	A7511
Plate21.46	A5402
Plate21.47	A6072
Plate21.5	A7112
Plate21.50	A6891
Plate21.51	A5211
Plate21.53	A5881
Plate21.54	A7512
Plate21.6	A6091
Plate21.60	A6071
Plate21.63	A6691
Plate21.66	A6761
Plate21.69	A5422
Plate21.7	A6092
Plate21.72	A7081
Plate21.73	A7082
Plate21.74	A6291
Plate21.8	A7061
Plate21.80	A8881
Plate21.81	A8882
Plate21.83	A6822
Plate21.88	A6302
Plate21.89	A6491
Plate21.9	A7062
Plate21.95	A5531
Plate21.96	A5532
Plate22.1	A5282
Plate22.11	A5541
Plate22.13	A6561
Plate22.20	A4371
Plate22.21	A5431
Plate22.32	A5361
Plate22.35	A5742
Plate22.44	A3862
Plate22.5	A7072
Plate22.50	A7041
Plate22.53	A8691
Plate22.65	A5412
Plate22.68	A5411
Plate22.7	A5401
Plate22.72	A7042
Plate22.74	A8681
Plate22.8	A5451
Plate22.87	A8832
Plate22.94	A6921
Plate23.1	A4091
Plate23.11	A5432
Plate23.12	A8941
Plate23.2	A6721
Plate23.27	A5362
Plate23.35	A6351
Plate23.37	A8792
Plate23.39	A4381
Plate23.4	A6521
Plate23.40	A5182
Plate23.43	A6592
Plate23.45	A8451
Plate23.52	A4001
Plate23.57	A4521
Plate23.58	A4522
Plate23.62	A4061
Plate23.64	A5641
Plate23.68	A6861
Plate23.69	A4161
Plate23.71	A6111
Plate23.72	A6572
Plate23.73	A4162
Plate23.77	A5491
Plate23.79	A6161
Plate23.80	A6392
Plate23.81	A6571
Plate23.83	A5232
Plate23.84	A6711
Plate23.85	A6712
Plate23.89	A4591
Plate23.9	A6722
Plate23.90	A4592
Plate23.96	A7431
Plate24.1	A7432
Plate24.10	A5132
Plate24.11	A5131
Plate24.19	A5761
Plate24.2	A6631
Plate24.20	A5762
Plate24.22	A6422
Plate24.23	A8921
Plate24.24	A8922
Plate24.28	A7001
Plate24.29	A7002
Plate24.33	A5461
Plate24.34	A8571
Plate24.35	A8572
Plate24.4	A4712
Plate24.40	A6541
Plate24.41	A5782
Plate24.42	A8731
Plate24.44	A6542
Plate24.45	A5781
Plate24.5	A6621
Plate24.52	A7202
Plate24.54	A6912
Plate24.55	A8791
Plate24.56	A7201
Plate24.59	A8842
Plate24.6	A6622
Plate24.61	A8452
Plate24.62	A8841
Plate24.68	A4871
